accession_number,species_name
MZ151087.1,Bathynomus giganteus
MN654917.1,Bathynomus giganteus
MN654915.1,Bathynomus kensleyi
MN654914.1,Bathynomus decemspinosus
MG229639.1,Bathynomus giganteus
MG229638.1,Bathynomus giganteus
MG229637.1,Bathynomus giganteus
MG229636.1,Bathynomus giganteus
MG229635.1,Bathynomus giganteus
MG229634.1,Bathynomus giganteus
MG229633.1,Bathynomus giganteus
MG229632.1,Bathynomus giganteus
MG229631.1,Bathynomus giganteus
MG229630.1,Bathynomus giganteus
MG229629.1,Bathynomus giganteus
MG229628.1,Bathynomus giganteus
MG229627.1,Bathynomus giganteus
MG229626.1,Bathynomus giganteus
MG229625.1,Bathynomus giganteus
MG229624.1,Bathynomus giganteus
MG229623.1,Bathynomus giganteus
MG229622.1,Bathynomus giganteus
MG229621.1,Bathynomus giganteus
MG229620.1,Bathynomus giganteus
MG229619.1,Bathynomus giganteus
MG229618.1,Bathynomus giganteus
MG229617.1,Bathynomus giganteus
MG229616.1,Bathynomus giganteus
MG229615.1,Bathynomus giganteus
MG229614.1,Bathynomus giganteus
MG229613.1,Bathynomus giganteus
MG229612.1,Bathynomus giganteus
MG229611.1,Bathynomus giganteus
MG229610.1,Bathynomus giganteus
MG229609.1,Bathynomus giganteus
MG229608.1,Bathynomus giganteus
MG229607.1,Bathynomus giganteus
MG229606.1,Bathynomus giganteus
MG229605.1,Bathynomus giganteus
MG229604.1,Bathynomus giganteus
MG229603.1,Bathynomus giganteus
MG229602.1,Bathynomus giganteus
MG229601.1,Bathynomus giganteus
MG229600.1,Bathynomus giganteus
MG229599.1,Bathynomus giganteus
MG229598.1,Bathynomus giganteus
MG229597.1,Bathynomus giganteus
MG229596.1,Bathynomus giganteus
MG229595.1,Bathynomus giganteus
MG229594.1,Bathynomus giganteus
MG229593.1,Bathynomus giganteus
MG229592.1,Bathynomus giganteus
MG229591.1,Bathynomus giganteus
MG229590.1,Bathynomus giganteus
MG229589.1,Bathynomus giganteus
MG229588.1,Bathynomus giganteus
MG229587.1,Bathynomus giganteus
MG229586.1,Bathynomus giganteus
MG229585.1,Bathynomus giganteus
MG229584.1,Bathynomus giganteus
MG229583.1,Bathynomus giganteus
MG229582.1,Bathynomus giganteus
MG229581.1,Bathynomus giganteus
MG229580.1,Bathynomus giganteus
MG229579.1,Bathynomus giganteus
MG229578.1,Bathynomus giganteus
MG229577.1,Bathynomus giganteus
MG229576.1,Bathynomus giganteus
MG229575.1,Bathynomus giganteus
MG229574.1,Bathynomus giganteus
MG229573.1,Bathynomus giganteus
MG229572.1,Bathynomus giganteus
MG229571.1,Bathynomus giganteus
MG229570.1,Bathynomus giganteus
MG229569.1,Bathynomus giganteus
MG229568.1,Bathynomus giganteus
MG229567.1,Bathynomus giganteus
MG229566.1,Bathynomus giganteus
MG229565.1,Bathynomus giganteus
MG229564.1,Bathynomus giganteus
MG229563.1,Bathynomus giganteus
MG229562.1,Bathynomus giganteus
MG229561.1,Bathynomus giganteus
MG229560.1,Bathynomus giganteus
MG229559.1,Bathynomus giganteus
MG229558.1,Bathynomus giganteus
MG229557.1,Bathynomus giganteus
MG229556.1,Bathynomus giganteus
MG229555.1,Bathynomus giganteus
MG229554.1,Bathynomus giganteus
