accession_number,species_name
PP715924.1,Bathynomus sp.
PP715922.1,Bathynomus sp.
PP715923.1,Bathynomus sp.
PP715921.1,Bathynomus sp.
OQ970652.1,Bathynomus kapala
OQ925870.1,Bathynomus jamesi
OQ923294.1,Bathynomus jamesi
OQ863731.1,Bathynomus kensleyi
OQ860753.1,Bathynomus kensleyi
OQ860752.1,Bathynomus kensleyi
OQ860751.1,Bathynomus kensleyi
MZ354630.1,Bathynomus yucatanensis
MZ742155.1,Bathynomus sp.
MZ348843.1,Bathynomus giganteus
MW580730.1,Bathynomus jamesi
MW580729.1,Bathynomus jamesi
MW579548.1,Bathynomus jamesi
MW577652.1,Bathynomus jamesi
MW577651.1,Bathynomus jamesi
MW577650.1,Bathynomus jamesi
MW575455.1,Bathynomus jamesi
MW575454.1,Bathynomus jamesi
MW575449.1,Bathynomus jamesi
MW575424.1,Bathynomus jamesi
PV737901.1,Bathynomus doederleini
PV737900.1,Bathynomus doederleini
PV737903.1,Bathynomus doederleini
PV737902.1,Bathynomus doederleini
PV719955.1,Bathynomus doederleini
PV719948.1,Bathynomus doederleini
PV719946.1,Bathynomus doederleini
PV719939.1,Bathynomus doederleini
PV719640.1,Bathynomus doederleini
PV719606.1,Bathynomus doederleini
PV719605.1,Bathynomus doederleini
PV719603.1,Bathynomus doederleini
PV719502.1,Bathynomus doederleini
OR227220.1,Bathynomus doederleini
OQ913469.1,Bathynomus doederleini
OQ910122.1,Bathynomus doederleini
OQ910121.1,Bathynomus doederleini
OQ910110.1,Bathynomus doederleini
OQ910057.1,Bathynomus doederleini
OQ421582.1,Bathynomus doederleini
OQ421549.1,Bathynomus doederleini
MZ726388.1,Bathynomus doederleini
MZ723939.1,Bathynomus doederleini
MZ723938.1,Bathynomus doederleini
MW567646.1,Bathynomus doederleini
MW567645.1,Bathynomus doederleini
MW567644.1,Bathynomus doederleini
