latitude,longitude,date,species,url,image_url,reference,n,location,depth,gear,temp,traps,id,notes,source,sex,source_id,previous_species,aquarium_inp,obs_type,id_correct,misid_reason,reviewer,is_sequenced,tax_type,genbank_accession
7.4,-5.1,11/26/69,Bathynomus sp.,https://www.gbif.org/occurrence/1318413774,,Dataset: NMNH Extant Biology,1,North Atlantic Ocean,668,,,,164,"orig_scientificName: Bathynomus giganteus A.Milne-Edwards, 1879 | basisOfRecord: PRESERVED_SPECIMEN | institutionCode: USNM | collectionCode: IZ | catalogNumber: USNM 236025 | recordNumber:  | recordedBy:  | identifiedBy: Bowman, Thomas E., Smithsonian Institution, National Museum of Natural History | locality:  | waterBody: North Atlantic Ocean | country: Côte d’Ivoire",GBIF,,http://n2t.net/ark:/65665/33594b0e9-5cb9-44fd-841e-f702d5e35fc2,Bathynomus giganteus,,survey,no,coordinates,JJ,FALSE,,
34.15333,136.62,7/13/78,Bathynomus doederleini,,,Sekiguchi1981,9,,200,,,3,283,,literature,,,,FALSE,,,,,,,
33.775,136.12333,10/31/80,Bathynomus doederleini,,,Sekiguchi1981,9,,170,,,4,307,,literature,,,,FALSE,,,,,,,
25.14258,-77.28016,11/14/22,Bathynomus giganteus,,,,1,,886,traps,7.17,Eel,1661,,BTW expedition,,,,FALSE,,,,,,,
21.90833,-92.42333,8/11/89,Bathynomus giganteus,https://doi.org/10.2307/1548476,,Briones-Fourzan&Lozano-Alvarez1991,11,Yucatan Peninsula,384-428,traps,,rectangular,444,cruise 4,literature,,,,FALSE,,,,,,,
26.94,-85.024,4/8/11,Bathynomus giganteus,https://www.gbif.org/occurrence/2249524542,,Timm2018,1,Gulf of Mexico,,,,,1063,Gulf of Mexico - These records are incorrect in GBIF and refer to longitude as East when it should be West,GBIF,,GBCMI3573-19,,,,,,JJ,TRUE,,
22.4667,120.4333,8/1/90,Bathynomus doederleini,https://brill.com/view/journals/cr/61/2/article-p141_3.xml,,Tso&Mok1991,172,"Tungkang, Taiwan",350,Traps,,Fish,588,,literature,,,,FALSE,,,,,,,
20.58,115.88,8/1/91,Bathynomus sp.,,,Soong1992,2,,497,,,,746,,literature,,,,FALSE,,,,,,,
25.14258,-77.28016,11/14/22,Bathynomus giganteus,,,,1,,886,traps,7.17,Eel,1662,,BTW expedition,,,,FALSE,,,,,,,
25.18906,-77.11405,11/17/22,Bathynomus giganteus,,,,1,,749,traps,9.96,Eel,1689,,BTW expedition,,,,FALSE,,,,,,,
26.94,-85.024,4/8/11,Bathynomus giganteus,https://www.gbif.org/occurrence/2249524795,,Timm2018,1,Gulf of Mexico,,,,,1065,Gulf of Mexico - These records are incorrect in GBIF and refer to longitude as East when it should be West,GBIF,,GBCMI3568-19,,,,,,JJ,TRUE,,
25.14258,-77.28016,11/14/22,Bathynomus giganteus,,,,1,,886,traps,7.17,Eel,1663,,BTW expedition,,,,FALSE,,,,,,,
22.40333,-91.58667,5/22/99,Bathynomus giganteus,https://www.sciencedirect.com/science/article/abs/pii/S0967063703000360,,Barradas-Ortiz2003,1,Yucatan Peninsula,550,trawl net,6–8.5,,835,,literature,,,,FALSE,,,,,,,
25.14258,-77.28016,11/14/22,Bathynomus giganteus,,,,1,,886,traps,7.17,Square,1664,,BTW expedition,,,,FALSE,,,,,,,
34.86827,138.37433,3/10/25,Bathynomus doederleini,,,,1,,487,traps,,Large amphipod - Bonito,1784,,BTW expedition,,,,FALSE,,,,,,,
25.14258,-77.28016,11/14/22,Bathynomus giganteus,,,,1,,886,traps,7.17,Square,1665,,BTW expedition,,,,FALSE,,,,,,,
25.14258,-77.28016,11/14/22,Bathynomus giganteus,,,,1,,886,traps,7.17,Square,1666,,BTW expedition,,,,FALSE,,,,,,,
26.94,-85.024,4/8/11,Bathynomus giganteus,https://www.gbif.org/occurrence/2249522328,,Timm2018,1,Gulf of Mexico,,,,,1056,Gulf of Mexico - These records are incorrect in GBIF and refer to longitude as East when it should be West,GBIF,,GBCMI3575-19,,,,,,JJ,TRUE,,
